"2012/03330/FUL","16/10/2012","Charing Cross Hospital Fulham Palace Road London W6 8RF","Retention of 1x 300mm microwave dish to existing installation at roof level.","Application Approved",""
"2012/03412/NMAT","15/10/2012","1 Ravenscourt Place London W6 0UN","Non-Material Minor Amendment to Planning Permission 2012/02042/FUL granted on 21 September 2012 for ...","Application Approved",""
"2012/03379/NMAT","15/10/2012","405 - 409 King Street London W6 9NQ","Non-Material Minor Amendment to Planning Permission 2011/01239/FUL granted 21st February 2012 for th...","Application Approved",""
"2012/03372/TPO","15/10/2012","19-21 Inglethorpe Street London SW6 6NS","Pruning of 1 x Silver Birch Tree in front garden, subject to Tree Preservation Order TPO/172/3/91 (T...","Application Approved",""
"2012/03322/FUL","15/10/2012","6 Binden Road London W12 9RJ","Erection of a single storey rear extension, to the side of the existing back addition; formation of ...","Application Approved",""
"2012/03320/FUL","15/10/2012","Flat Ground Floor 46 Mendora Road London SW6 7NB","Erection of a single storey rear extension, to the side of the existing back addition, including ins...","Application Approved",""
"2012/03318/FUL","15/10/2012","80 Shorrolds Road London SW6 7TX","Erection of a single storey rear extension, to the side of the existing back addition, including reb...","Application Approved",""
"2012/03316/TREE","14/10/2012","17 Lord Napier Place London W6 9UB","Cherry tree - only tree in garden. Has serious canker so needs 50% pruning to maintain safety","Application Lapsed (No Further Action)",""
"2012/03355/ADV","12/10/2012","Bank Buildings Fulham Broadway London SW6 1EP","Display of 3 x internally illuminated suspended fascia signs, 1 x internally illuminated projecting ...","Application Approved",""
"2012/03354/CLP","12/10/2012","34 Kingwood Road London SW6 6SR","Erection of a rear extension at second floor level, on top of existing back addition.","Application Refused",""
"2012/03313/FUL","12/10/2012","22 Tunis Road London W12 7EZ","Erection of a rear mansard roof extension with rear dormer and replacement of existing single storey...","Application Approved",""
"2012/03300/FUL","12/10/2012","8 Avalon Road London SW6 2EX","Enlargement of existing rear lightwell including installation of replacement doors to rear elevation...","Application Approved",""
"2012/03299/CLP","12/10/2012","11 Warbeck Road London W12 8NS","Erection of a rear dormer window at third floor level; installation of 1 x rooflight in the front ro...","Application Approved",""
"2012/03356/NMAT","11/10/2012","664 - 666 Fulham Road London SW6 5RX","Non-material minor amendment to Planning Permission 2010/00134/FUL granted at appeal (APP/H5390/A/10...","Application Approved",""
"2012/03347/FUL","11/10/2012","48 Rosaville Road London SW6 7BL","Erection of a rear extension at second floor level over part of the existing back addition; replacem...","Application Approved",""
"2012/03297/TREE","11/10/2012","The London Apollo  Queen Caroline Street London W6 9QH","Sycamore (T1) crown reduce by 20% approx 2m of the leafed crown and deadwood.","Application Lapsed (No Further Action)",""
"2012/03287/TREE","11/10/2012","1 Kempson Road London SW6 4PX","Front Garden - Sycamore - Fell to ground level and poison stump.","Application Approved",""
"2012/03286/TREE","11/10/2012","Water Treatment Facility 46 Chancellors Road London W6 9RS","T1 Maple - reduce and reshape crown by 20%. T2 Leyland Cypress - 30% reduce, crown lift from fence a...","Application Lapsed (No Further Action)",""
"2012/03282/FUL","10/10/2012","22 Beltran Road London SW6 3AJ","Erection of a rear extension at first floor level over part of the existing back addition.","Application Approved",""
"2012/03281/DET","10/10/2012","Grove House 27 Hammersmith Grove London W6 0NE","Submission of details of anti-vibration measures pursuant to condition 4 of planning permission ref:...","Application Approved",""
"2012/03277/FUL","10/10/2012","10 Keith Grove London W12 9EZ","Erection of an additional floor at roof level over part of the existing flat roof; reinstatement of ...","Application Approved",""
"2012/03276/FUL","10/10/2012","10 Keith Grove London W12 9EZ","Erection of an additional floor at roof level; reinstatement of parapet wall at roof level to front ...","Application Refused",""
"2012/03274/TREE","10/10/2012","47 Wandsworth Bridge Road London SW6 2TB","Lime (located in the rear Garden, against the back wall and boundary of 47 Wandsworth Bridge Road). ...","Application Lapsed (No Further Action)",""
"2012/03271/FUL","10/10/2012","45 Baron's Court Road London W14 9DZ","Installation of 1 x rooflight in the front roofslope; installation of 1 x rooflight in the flat roof...","Application Approved",""
"2012/03294/FUL","09/10/2012","30 And 32 New King's Road London SW6 4ST","Replacement of existing windows on front elevations at first floor and roof level with timber frame ...","Application Approved",""
"2012/03290/EFUL","09/10/2012","18 Fulham Park Gardens London SW6 4JX","Renewal of planning permission 2009/02178/FUL granted on 26 October 2009 for the erection of a singl...","Application Approved",""
"2012/03285/NMAT","09/10/2012","Imperial Wharf Townmead Road London","Non-Material Amendment to Planning Permission 2010/02484/VAR granted 23 June 2011 for the amendment ...","Application Approved",""
"2012/03266/CLP","09/10/2012","6 Caverswall Street London W12 0HG","Erection of a rear roof extension including the formation of a hip to gable roof extension;  erectio...","Application Approved",""
"2012/03264/TREE","09/10/2012","26 Carthew Road London W6 0DX","T1: Magonolia in rear garden Crown reduce to reshape removint 15-20% upto approximately 1m","Application Lapsed (No Further Action)",""
"2012/03257/FUL","09/10/2012","8 Claridge Court Munster Road London SW6 4EY","Erection of a dormer window on the existing rear roof slope.","Application Approved",""
"2012/03307/NMAT","08/10/2012","40 Finlay Street London SW6 6HD","Non-material minor amendment to Planning Permission 2011/03092/FUL granted 28 November 2011 for erec...","Application Withdrawn",""
"2012/03270/DET","08/10/2012","55 Purser's Cross Road London SW6 4QY","Submission of details of screening pursuant to Condition 4 of planning permission ref. 2012/01965/FU...","Application Approved",""
"2012/03253/CLP","08/10/2012","18 And 26 Adam Walk London SW6 6LE","Conversion of 1 x 2 bedroom flat and 1 x 1 bedroom flat (18 and 26 Adam Walk) into a single dwelling...","Application Approved",""
"2012/03251/TREE","08/10/2012","9 Moore Park Road London SW6 2JB","Rear garden  - remove conifer tree","Application Approved",""
"2012/03250/CLP","08/10/2012","64 Godolphin Road London W12 8JW","Erection of a rear roof extension; installation of 2 x rooflights in the front roofslope; erection o...","Application Approved",""
"2012/03249/FUL","08/10/2012","Flat Ground Floor 30 Colehill Lane London SW6 5EG","Erection of a single storey rear extension, to the side of the existing back addition, including ins...","Application Approved",""
"2012/02722/DET","08/10/2012","4 - 8 Effie Road London SW6 1TB","Submission of details of preliminary risk assessment report pursuant to Condition 28; details of sit...","Application Lapsed (No Further Action)",""
"2012/01993/DET","08/10/2012","4 - 8 Effie Road London SW6 1TB","Submission of details of temporary fencing pursuant to Condition 3 of conservation area consent ref....","Application Lapsed (No Further Action)",""
"2012/01836/DET","08/10/2012","4 - 8 Effie Road London SW6 1TB","Submission of details of contamination pursuant to conditions 28, 29 & 30 of planning permission ref...","Application Lapsed (No Further Action)",""
"2012/01835/DET","08/10/2012","4 - 8 Effie Road London SW6 1TB","Submission of details of demolition method statement pursuant to Condition 3 of planning permission ...","Application Lapsed (No Further Action)",""
"2012/03242/CLP","06/10/2012","15 Clifton Avenue London W12 9DR","Erection of a rear roof extension; installation of 3 x rooflights in the front roofslope.","Application Approved",""
"2012/03239/TREE","05/10/2012","33 Tamworth Street London SW6 1LF","Ivy removal and 30% crown reduction of sycamore in rear garden of 33 Tamworth Street. This is a tree...","Application Lapsed (No Further Action)",""
"2012/03238/TREE","05/10/2012","Sams Beauty Shop  616 Kings Road London SW6 2DU","Sole Sycamore in the rear garden of 616 Kings Road (The Beauty Boutique). Fell due to excessive shad...","Application Lapsed (No Further Action)",""
"2012/03237/TREE","05/10/2012","6 Micklethwaite Road London SW6 1QD","Rear Garden - Golden Acacia - Crown reduce to previous reduction points","Application Lapsed (No Further Action)",""
"2012/03262/FUL","04/10/2012","32 Sherbrooke Road London SW6 7HU","Erection of a rear extension at second floor level, over part of existing back addition.","Application Approved",""
"2012/03261/NMAT","04/10/2012","Hammersmith Embankment Site Known As 'Fulham Reach' Land Bound By Chancellor's Road, Distillery Road And Winslow Road, Including Sections Of Thames Path, Thames River, Frank Banfield Park, And Highway Land London W6","Non-Material Minor Amendment to planning permission ref: 2011/00407/COMB granted 23rd December 2011 ...","Application Approved",""
"2012/03258/CLP","04/10/2012","5 Lancaster Court Darlan Road London SW6 5TB","Use of part of the property as a private hire operating centre, on the basis that: (i) No other staf...","Application Approved",""
"2012/03229/FUL","04/10/2012","10 Harbledown Road London SW6 5TP","Erection of a single storey extension, to the side of the existing back addition.","Application Approved",""
"2012/03224/FUL","04/10/2012","15 Charleville Road London W14 9JJ","Erection of 1.1m high black metal railings enclosing the flat roof at first floor level.","Application Approved",""
"2012/03217/DET","04/10/2012","31 Woodstock Grove London W12 8LE","Submission of details of refuse and recyclables pursuant to Condition 11; details of cycle parking p...","Application Approved",""
"2012/03248/TREE","03/10/2012","32 Filmer Road London SW6 7JL","Rear garden. Bay, fell to ground level.","Application Lapsed (No Further Action)",""
"2012/03245/EFUL","03/10/2012","12 Netherwood Road London W14 0BJ","Renewal of Planning Permission 2009/02400/FUL granted 1st December 2009 for the erection of a hip to...","Application Approved",""
"2012/03215/FUL","03/10/2012","29 Palliser Road London W14 9EB","Demolition of existing enclosed balcony and stairs and replacement with black painted steel balcony ...","Application Approved",""
"2012/03214/FUL","03/10/2012","Stinging Nettle 55 Goldhawk Road London W12 8QP","Use of public highway as outdoor seating for 2 tables and 8 chairs in connection with the existing c...","Application Withdrawn",""
"2012/03212/FUL","03/10/2012","21 Favart Road London SW6 4AX","Excavation of part of the front, side and rear garden areas to form lightwells in connection with th...","Application Approved",""
"2012/03211/TREE","03/10/2012","38 Sedlescombe Road London SW6 1RD","Bay- Tree (shrub?) is in the left side of the rear garden adjacent to the area where we plan to exte...","Application Lapsed (No Further Action)",""
"2012/03208/FUL","03/10/2012","24 Bramber Road London W14 9PB","Erection of a single storey rear extension.","Application Approved",""
"2012/03329/TPO","02/10/2012","St Saviours Vicarage Cobbold Road London W12 9LN","Pruning of 1 x Holly Tree (T2) by reducing the height by 5-6m; pruning of 2 x Sycamore Trees (T5 and...","Application Approved",""
"2012/03203/FUL","02/10/2012","35 Hugon Road London SW6 3ER","Installation of new velux window into existing rear roof extension; erection of a rear extension at ...","Application Approved",""
"2012/03202/TREE","02/10/2012","9 Lord Napier Place London W6 9UB","Crown reduce 2 Holly trees by 33% in the rear garden. Reason: general maintenance to allow more ligh...","Application Lapsed (No Further Action)",""
"2012/03191/TREE","02/10/2012","47 Felden Street London SW6 5AE","Rear garden. 1) Mimosa, reduce and re-shape crown by 25%; clean our crown; remove deadwood. 2) Holly...","Application Lapsed (No Further Action)",""
"2012/03190/TREE","02/10/2012","1A Cloncurry Street London SW6 6DR","Rear garden. 1) False Acacia, fell to ground level by sectional takedown and treat stump to prevent ...","Application Lapsed (No Further Action)",""
"2012/03189/TREE","02/10/2012","54 Waldemar Avenue Mansions Waldemar Avenue London SW6 5LX","Removal of all trees on boundary line fronting Colehill Lane.","Application Lapsed (No Further Action)",""
"2012/03187/FUL","02/10/2012","787 Fulham Road London SW6 5HD","Erection of replacement canopy to front elevation.","Application Approved",""
"2012/03186/CLP","02/10/2012","26 Ellaline Road London W6 9NZ","Erection of a rear roof extension.","Application Refused",""
"2012/03221/LBC","01/10/2012","Olympia Exhibition Centre Hammersmith Road London W14 8UX","Installation of a new boiler flue at roof level; installation of one extract vent and one extract lo...","Application Approved",""
"2012/03220/FUL","01/10/2012","Olympia Exhibition Centre Hammersmith Road London W14 8UX","Installation of a new boiler flue at roof level; installation of one extract vent and one extract lo...","Application Approved",""
"2012/03216/FUL","01/10/2012","48 Cloncurry Street London SW6 6DU","Erection of a front and rear roof extension; erection of a rear extension at second floor level over...","Application Approved",""
"2012/03210/CLP","01/10/2012","1 Doria Road London SW6 4UF","Conversion of the property from 2 x self contained flats to a single dwelling house.","Application Approved",""
"2012/03207/FUL","01/10/2012","Maisonette B 60 Cranbury Road London SW6 2NJ","Replacement of existing windows at basement floor level to front elevation with sliding doors; insta...","Application Approved",""
"2012/03188/VAR","01/10/2012","264 North End Road London SW6 1NJ","Variation of condition 8 of planning permission ref: 2007/04342/FUL granted 8th September 2008 to al...","Application Approved",""
"2012/03181/FUL","01/10/2012","31 Sinclair Road London W14 0NS","Change of use of the entire building from office (Class B1) to residential (Class C3) to create 5x n...","Application Approved",""
"2012/03177/FUL","01/10/2012","1 Atalanta Street London SW6 6TU","Excavation of part of front and rear garden areas to form lightwells in connection with the creation...","Application Approved",""
"2012/03176/FUL","01/10/2012","2 Bridge Avenue London W6 9JP","External alterations to the building façade including installation of 3 x windows to the front eleva...","Application Approved",""
"2012/03175/FUL","01/10/2012","Flat Ground Floor 51 St Dionis Road London SW6 4UB","Erection of a single storey rear extension, to the side and rear of the existing back addition; exca...","Application Approved",""
"2012/03172/FUL","30/09/2012","20 Beltran Road London SW6 3AJ","Replacement of rooflight in existing rear roof extension with french doors and juliet balcony, erect...","Application Approved",""
"2012/03171/FUL","29/09/2012","121 Stevenage Road London SW6 6PA","Erection of a rear roof extension.","Application Approved",""
"2012/03184/FUL","28/09/2012","First Floor Union House 70 Shepherd's Bush Green London W12 8UA","Retention of an education and training college (Class D1) on the first floor.","Application Approved",""
"2012/03174/DET","28/09/2012","710 - 712 Fulham Road London SW6 5SB","Submission of details of cycle parking pursuant to condition 3; refuse storage pursuant to condition...","Application Approved",""
"2012/03168/ADV","28/09/2012","11 Bank Buildings Fulham Broadway London SW6 1ER","Continued display of mesh screen (16 metres high by 13.5 metres wide) attached to scaffolding on the...","Application Refused",""
"2012/03166/FUL","28/09/2012","100 Lakeside Road London W14 0DY","Installation of an enlarged timber sash window to replace the existing window at ground floor level ...","Application Approved",""
"2012/03165/LBC","28/09/2012","Northumberland House 134 New King's Road London SW6 4LZ","Amendment to Planning Permission 2011/03579/FUL and 2011/00016/LBC granted 9th March 2012 for the De...","Application Approved",""
"2012/03164/CLP","28/09/2012","38 Kimbell Gardens London SW6 6QQ","Erection of a rear roof extension; erection of a rear extension at second floor level over part of t...","Application Approved",""
"2012/03163/FUL","28/09/2012","29 Archel Road London W14 9QJ","Erection of privacy screening around flat roof of existing back addition, at first floor level to re...","Application Approved",""
"2012/03161/FUL","28/09/2012","329 North End Road London SW6 1NN","Change of use from Amusement Arcade (Sui Generis) to Use Class A2 Bookmakers; installation of new sh...","Application Approved",""
"2012/03159/DET","28/09/2012","163 New King's Road London SW6 4SN","Submission of details of materials pursuant to Condition 3; details of noise mitigation pursuant to ...","Application Refused",""
"2012/03153/DET","28/09/2012","BPP House Aldine Place 142 - 144 Uxbridge Road London W12 8AA","Submission of details of external lighting pursuant to condition 11; details of travel plan pursuant...","Application Refused",""
"2012/03152/DET","28/09/2012","BPP House Aldine Place 142 - 144 Uxbridge Road London W12 8AA","Submission of details of external lighting pursuant to condition 11; details of travel plan pursuant...","Application Refused",""
"2012/03199/TREE","27/09/2012","Blythe House 23 Blythe Road London W14 0QX","Grounds. As per works schedule, fell 4 trees and prune 13 trees.","Application Lapsed (No Further Action)",""
"2012/03198/TREE","27/09/2012","15 Hebron Road London W6 0PQ","Rear garden. 1) Loquat, reduce to previous reduction points and remove one large bough extending ove...","Application Lapsed (No Further Action)",""
"2012/03197/TREE","27/09/2012","86 Brook Green London W6 7BD","Rear garden. Sycamore, reduce to previous reduction points and thin by 10%.","Application Lapsed (No Further Action)",""
"2012/03195/TREE","27/09/2012","134A Sinclair Road London W14 0NL","Rear garden. Lime, lift to 10 metres; thin northerly side of crown by 25% to restore crown balance; ...","Application Approved",""
"2012/03193/TREE","27/09/2012","1 Studdridge Street London SW6 3SL","Rear Garden. 1) Silver Birch, fell and replant with shall olive or bay tree in same place. 2) Sycamo...","Application Lapsed (No Further Action)",""
"2012/03156/FUL","27/09/2012","94 Langthorne Street London SW6 6JX","Erection of a single storey rear extension, to the side and rear of the existing back addition; erec...","Application Refused",""
"2012/03151/DET","27/09/2012","Flat 25 Rosebank Holyport Road London SW6 6LG","Submission of details of first floor side window pursuant to Condition 4 of planning permission ref....","Application Approved",""
"2012/03148/FUL","27/09/2012","175 Greyhound Road London W6 8NL","Replacement of bay windows at ground floor level to front elevation with timber frame sash windows; ...","Application Approved",""
"2012/03146/FUL","27/09/2012","236 Wulfstan Street London W12 0AD","Erection of a single storey rear extension.","Application Approved",""
"2012/03137/TREE","27/09/2012","215 Hammersmith Grove London W6 0NP","3 sycamores in rear garden, to reduce back to previous reduction points and reduce crown by 30%","Application Lapsed (No Further Action)",""
"2012/03129/TREE","27/09/2012","31 Queensmill Road London SW6 6JP","T1: Sycamore - Crown reduce to previous points","Application Lapsed (No Further Action)",""
"2012/03126/FUL","27/09/2012","Northumberland House 134 New King's Road London SW6 4LZ","Amendment to Planning Permission 2011/03579/FUL granted 9th March 2012 for the Demolition of existin...","Application Approved",""
"2012/03173/TREE","26/09/2012","T W I House 23 Eyot Gardens London W6 9TR","Rear car park. 1) Lime, reduce all round by 3m; lift to 4m above ground. 2) Beech, reduce by 2.5m; l...","Application Lapsed (No Further Action)",""
"2012/03155/TREE","26/09/2012","Digby Mansions Hammersmith Bridge Road London W6 9DF","Rear courtyard. Figs (3) and Elder, reduce back to last pruning points (approx 30% crown reduction)/","Application Lapsed (No Further Action)",""
"2012/03144/FUL","26/09/2012","23 Bishop's Road London SW6 7AA","Replacement of rear dormer extension with a mansard rear roof extension; installation of 2 x rooligh...","Application Approved",""
"2012/03143/FUL","26/09/2012","6 Salisbury Pavement Dawes Road London SW6 7HT","Change of use of ground and basement floor levels from internet cafe (Class A1) to 1 x 3 bedroom fla...","Application Withdrawn",""
"2012/03142/FUL","26/09/2012","Unit 19 Talina Centre 23A Bagley's Lane London SW6 2BW","Installation of windows at first floor level to front elevation; installation of a roller shutter do...","Application Approved",""
"2012/03133/ADV","26/09/2012","Jurys Inn Hotel Imperial Road London SW6 2GA","Display of 1 x illuminated fascia sign at ground floor level to front elevation; display of 2 x non-...","Application Approved",""
"2012/03123/FUL","26/09/2012","27 Lime Grove London W12 8EE","Erection of a rear mansard roof extension; installation of three rooflights in the front roofslope; ...","Application Approved",""
"2012/03122/CLP","26/09/2012","58B Vespan Road London W12 9QQ","Erection of a rear extension at second floor level over part of the existing back addition.","Application Approved",""
"2012/03112/TREE","26/09/2012","22 Ellerby Street London SW6 6EY","Eucalyptus: reduce by 50%. Bay tree: reduce by 50% and reshape. Holly tree: fell to ground level and...","Application Lapsed (No Further Action)",""
"2012/03102/TPO","26/09/2012","20 Godolphin Road London W12 8JE","Re-pollarding of 1 x Sycamore Tree in the front garden subject to Tree Preservation Order TPO/31/8/7...","Application Approved",""
"2012/03101/TREE","26/09/2012","214 Dalling Road London W6 0ER","Fell Leylandii and Elder in rear garden and poison remaining stumps. Trees are overhanging fence on ...","Application Lapsed (No Further Action)",""
"2012/03158/DET","25/09/2012","31 Girdlers Road London W14 0PS","Submission of details of particulars and samples of the brick colour pursuant to condition 4; secure...","Application Approved",""
"2012/03157/FUL","25/09/2012","25 Delvino Road London SW6 4AF","Erection of a rear roof extension, involving a 150mm increase in ridge height.","Application Approved",""
"2012/03141/TREE","25/09/2012","Flat B Ground Floor 40 Musard Road London W6 8NW","Rear garden. Portuguese laurel, reduce by one third (approx 2.5 metres).","Application Lapsed (No Further Action)",""
"2012/03139/TREE","25/09/2012","111 Emlyn Road London W12 9TG","Rear garden. Damson trees (3), fell to ground level.","Application Lapsed (No Further Action)",""
"2012/03111/CLP","25/09/2012","102 Wulfstan Street London W12 0AH","Erection of a single storey rear extension, to the rear of the existing back addition.","Application Approved",""
"2012/03109/FUL","25/09/2012","34 Avonmore Road London W14 8RS","Retention of a single storey conservatory extension.","Application Approved",""
"2012/03098/FUL","25/09/2012","2 Hartismere Road London SW6 7TT","Change of use of the ground floor from warehousing (use class B8) to residential (use class C3) , in...","Application Refused",""
"2012/03096/FUL","25/09/2012","19A Furness Road London SW6 2LQ","Erection of a rear roof extension involving an increase in the ridge height (200mm); installation of...","Application Approved",""
"2012/03094/FUL","25/09/2012","95 And 97 Becklow Road London W12 9HH","Erection of a single storey rear extension, to the side and rear of the existing back addition to No...","Application Approved",""
